,SalePrice,GrLivArea,SalePrice,Line,SubSquared,GrLivArea2,SalePrice,Line,SubSquared,OverallQual,OverallCond,YrSold,LotArea,YearBuilt,YearRemodAdd,GarageArea,GarageCars,Fireplaces,1-STD,2-STD,3-STD,,
16,149000,1004,149000,126127.52,523150341.4,31.68595904,149000,122487.1677,702930275.5,6,7,2010,11241,1970,1970,480,2,1,FALSE,FALSE,FALSE,,
17,90000,1296,90000,157409.48,4544037994,36,90000,160091.8,4912860427,4,5,2006,10791,1967,1967,516,2,0,FALSE,FALSE,FALSE,,
18,159000,1114,159000,137911.82,444711335.7,33.37663854,159000,137224.4828,474173149.5,5,5,2008,13695,2004,2004,576,2,0,FALSE,FALSE,FALSE,,
19,139000,1339,139000,162016.07,529739478.2,36.59234893,139000,165255.1871,689334851.1,5,6,2009,7560,1958,1965,294,1,0,FALSE,FALSE,FALSE,,
20,325300,2376,325300,273109.88,2723808626,48.74423043,325300,271180.7078,2928897789,8,5,2006,14215,2005,2006,853,3,1,TRUE,FALSE,FALSE,,
21,139400,1108,139400,137269.04,4540990.522,33.28663395,139400,136439.9309,8762009.362,7,7,2007,7449,1930,1950,280,1,1,FALSE,FALSE,FALSE,,
22,230000,1795,230000,210867.35,366058296,42.36744033,230000,215595.5039,207489509.1,8,5,2008,9742,2002,2002,534,2,1,FALSE,FALSE,FALSE,,
23,129900,1060,129900,132126.8,4958638.24,32.55764119,129900,130085.4467,34390.49492,5,7,2007,4224,1976,1976,572,2,1,FALSE,FALSE,FALSE,,
24,154000,1060,154000,132126.8,478436878.2,32.55764119,154000,130085.4467,571905857.4,5,8,2010,8246,1968,2001,270,1,1,FALSE,FALSE,FALSE,,
25,256300,1600,256300,189977,4398740329,40,256300,194959,3762718281,8,5,2009,14230,2007,2007,890,3,1,TRUE,FALSE,FALSE,,
26,134800,900,134800,114986,392594596,30,134800,107791,729486081,5,7,2010,7200,1951,2000,576,2,0,FALSE,FALSE,FALSE,,
27,306000,1704,306000,201118.52,11000124847,41.27953488,306000,206112.4497,9977522715,8,5,2010,11478,2007,2008,772,3,1,TRUE,FALSE,FALSE,,
28,207500,1600,207500,189977,307055529,40,207500,194959,157276681,5,6,2006,16321,1957,1997,319,1,2,FALSE,FALSE,FALSE,,
29,68500,520,68500,74276.6,33369107.56,22.8035085,68500,45060.62291,549404398.4,4,6,2008,6324,1927,1950,240,1,0,TRUE,FALSE,FALSE,,
30,40000,1317,40000,159659.21,14318326538,36.29049462,40000,162623.9835,15036641337,4,4,2008,8500,1920,1950,250,1,0,TRUE,FALSE,FALSE,,
31,149350,1228,149350,150124.64,600067.1296,35.04283094,149350,151748.3487,5752076.495,5,6,2008,8544,1966,2006,271,1,0,FALSE,FALSE,FALSE,,
32,179900,1234,179900,150767.42,848707217.5,35.12833614,179900,152493.6805,751106350.2,8,5,2008,11049,2007,2007,484,2,0,FALSE,FALSE,FALSE,,
33,165500,1700,165500,200690,1238336100,41.23105626,165500,205689.8712,1615225745,5,5,2010,10552,1959,1959,447,2,1,FALSE,FALSE,FALSE,,
34,277500,1561,277500,185798.93,8409086239,39.50949253,277500,190683.3445,7537131674,9,5,2007,7313,2005,2005,556,2,1,FALSE,FALSE,FALSE,,
35,309000,2452,309000,281251.76,769964823.1,49.51767361,309000,277922.6573,965801226.4,8,5,2006,13418,2004,2005,691,3,1,TRUE,FALSE,FALSE,,
36,145000,1097,145000,136090.61,79377230.17,33.12099032,145000,134996.0485,100079046.6,5,5,2009,10859,1994,1995,672,2,0,FALSE,FALSE,FALSE,,
37,153000,1297,153000,157516.61,20399765.89,36.01388621,153000,160212.8433,52025108.78,5,6,2009,8532,1954,1990,498,2,1,FALSE,FALSE,FALSE,,
38,109000,1057,109000,131805.41,520086725.3,32.51153641,109000,129683.5606,427809679.7,5,7,2010,7922,1953,2007,246,1,0,TRUE,FALSE,FALSE,,
39,82000,1152,82000,141982.76,3597931497,33.9411255,82000,142145.0027,3617421354,4,5,2008,6040,1955,1955,0,0,0,TRUE,TRUE,FALSE,,
40,160000,1324,160000,160409.12,167379.1744,36.3868108,160000,163463.5524,11996194.94,6,5,2006,8658,1965,1965,440,2,1,FALSE,FALSE,FALSE,,
41,170000,1328,170000,160837.64,83948840.77,36.44173432,170000,163942.3097,36695611.88,5,6,2007,16905,1959,1959,308,1,2,FALSE,FALSE,FALSE,,
42,144000,884,144000,113271.92,944214900.5,29.73213749,144000,105456.0961,1485632527,5,7,2007,9180,1983,1983,504,2,0,FALSE,FALSE,FALSE,,
43,130250,938,130250,119056.94,125284592.2,30.62678566,130250,113254.5653,288844802,5,6,2008,9200,1975,1980,308,1,0,FALSE,FALSE,FALSE,,
44,141000,1150,141000,141768.5,590592.25,33.91164992,141000,141888.07,788668.2974,5,6,2006,7945,1959,1959,300,1,0,FALSE,FALSE,FALSE,,
45,319900,1752,319900,206260.76,12913876868,41.85689907,319900,211145.2178,11827602643,9,5,2010,7658,2005,2005,576,2,1,FALSE,FALSE,FALSE,,
46,239686,2149,239686,248791.37,82907762.84,46.35730795,239686,250374.3819,114241507.7,7,5,2009,12822,2003,2003,670,2,1,FALSE,FALSE,FALSE,,
47,249700,1656,249700,195976.28,2886238091,40.6939799,249700,201008.284,2370883209,8,5,2007,11096,2006,2006,826,3,0,TRUE,FALSE,FALSE,,
48,113000,1452,113000,174121.76,3735869545,38.10511777,113000,178441.6905,4282614862,4,5,2009,4456,1920,2008,0,0,0,TRUE,TRUE,FALSE,,
49,127000,955,127000,120878.15,37477047.42,30.90307428,127000,115662.9179,128529430.8,5,7,2007,7742,1966,1966,386,1,0,FALSE,FALSE,FALSE,,
50,177000,1470,177000,176050.1,902310.01,38.34057903,177000,180494.1592,12209148.85,6,6,2007,13869,1997,1997,388,2,0,FALSE,FALSE,FALSE,,
51,114500,1176,114500,144553.88,903235703.1,34.2928564,114500,145210.9707,943163718.8,6,6,2006,6240,1934,1950,528,2,1,FALSE,FALSE,FALSE,,
52,110000,816,110000,105987.08,16103526.93,28.56571371,110000,95288.6133,216424898.5,5,5,2010,8472,1963,1963,516,2,0,FALSE,FALSE,FALSE,,
53,385000,1842,385000,215902.46,28593978034,42.91852747,385000,220399.2202,27093416701,9,5,2006,50271,1981,1987,894,3,1,TRUE,FALSE,FALSE,,
54,130000,1360,130000,164265.8,1174145050,36.87817783,130000,167746.7005,1424813399,5,5,2007,7134,1955,1955,572,2,1,FALSE,FALSE,FALSE,,
55,180500,1425,180500,171229.25,85946805.56,37.74917218,180500,175338.984,26636085.88,6,5,2008,10175,1964,1964,576,2,1,FALSE,FALSE,FALSE,,
56,172500,1739,172500,204868.07,1047691956,41.70131892,172500,209789.0568,1390473757,8,5,2009,2645,1999,2000,480,2,0,FALSE,FALSE,FALSE,,
57,196500,1720,196500,202832.6,40101822.76,41.47288271,196500,207797.824,127640826.6,7,5,2006,11645,2004,2004,565,2,0,FALSE,FALSE,FALSE,,
58,438780,2945,438780,334066.85,10964843783,54.2678542,438780,319329.0315,14268533868,10,5,2006,13682,2006,2006,641,3,1,FALSE,FALSE,FALSE,,
59,124900,780,124900,102130.4,518454684.2,27.92848009,124900,89733.97523,1236649298,5,7,2008,7200,1972,1972,352,1,0,FALSE,FALSE,FALSE,,
60,158000,1158,158000,142625.54,236374020.3,34.02939905,158000,142914.4657,227573345.8,6,5,2006,13072,2004,2004,576,2,0,FALSE,FALSE,FALSE,,
61,101000,1111,101000,137590.43,1338859568,33.33166662,101000,136832.4716,1283966024,5,7,2007,7200,1920,1996,288,1,0,FALSE,FALSE,FALSE,,
62,202500,1370,202500,165337.1,1381081136,37.01351105,202500,168926.3731,1127188424,8,5,2007,6442,2006,2006,484,2,1,FALSE,FALSE,FALSE,,
63,140000,1710,140000,201761.3,3814458178,41.35214626,140000,206745.3885,4454946884,7,6,2010,10300,1921,1950,480,2,0,FALSE,FALSE,FALSE,,
64,219500,2034,219500,236471.42,288029096.8,45.09988914,219500,239413.7136,396555989.9,7,5,2009,9375,1997,1998,645,2,0,FALSE,FALSE,FALSE,,
65,317000,2473,317000,283501.49,1122150172,49.72926704,317000,279767.0749,1386290711,8,5,2007,9591,2004,2005,852,3,1,TRUE,FALSE,FALSE,,
66,180000,2207,180000,255004.91,5625736524,46.97871859,180000,255791.0942,5744289956,7,5,2010,19900,1970,1989,576,2,1,FALSE,FALSE,FALSE,,
67,226000,1479,226000,177014.27,2399601744,38.45776905,226000,181515.6812,1978854617,7,5,2007,10665,2003,2003,558,2,0,FALSE,FALSE,FALSE,,
68,80000,747,80000,98595.11,345778115.9,27.33130074,80000,84528.48227,20507151.65,4,6,2010,4608,1945,1950,220,1,0,TRUE,FALSE,FALSE,,
69,225000,2287,225000,263575.31,1488054542,47.8225888,225000,263146.9421,1455189191,7,4,2006,15593,1953,1953,667,2,1,FALSE,FALSE,FALSE,,
70,244000,2223,244000,256718.99,161772706.6,47.14870094,244000,257272.7963,176167122.2,7,6,2007,13651,1973,1973,516,2,2,FALSE,FALSE,FALSE,,
71,129500,845,129500,109093.85,416410957.8,29.06888371,129500,99674.6455,889551771,4,6,2007,7599,1982,2006,360,2,0,FALSE,FALSE,FALSE,,
72,185000,1718,185000,202618.34,310405904.4,41.44876355,185000,207587.5821,510198866.5,7,5,2009,10141,1998,1998,427,2,1,FALSE,FALSE,FALSE,,
73,144900,1086,144900,134912.18,99756548.35,32.95451411,144900,133544.9086,128938101.5,5,7,2010,10200,1954,2003,490,2,0,FALSE,FALSE,FALSE,,
74,107400,1605,107400,190512.65,6907712590,40.06245125,107400,195503.375,7762204693,3,6,2010,5790,1915,1950,379,1,0,FALSE,FALSE,FALSE,,
75,91000,988,91000,124413.44,1116457973,31.43246729,91000,120277.5309,857173814.6,4,5,2009,1596,1973,1973,297,1,0,FALSE,FALSE,FALSE,,
76,135750,952,135750,120556.76,230834541.7,30.85449724,135750,115239.4816,420681367,4,7,2008,8475,1956,1956,283,1,0,FALSE,FALSE,FALSE,,
77,127000,1285,127000,156231.05,854454284.1,35.84689666,127000,158757.2288,1008521580,5,5,2008,8635,1948,2001,240,1,0,TRUE,FALSE,FALSE,,
78,136500,1768,136500,207974.84,5108652753,42.04759208,136500,212807.4507,5822827028,4,5,2010,10778,1968,1968,0,0,0,TRUE,TRUE,FALSE,,
79,110000,1230,110000,150338.9,1627226853,35.07135583,110000,151996.9945,1763747550,5,6,2009,10440,1910,1981,440,2,0,FALSE,FALSE,FALSE,,
80,193500,2142,193500,248041.46,2974770859,46.28174586,193500,249715.7223,3160207437,6,6,2009,13000,1968,1968,509,1,1,FALSE,FALSE,FALSE,,
81,153500,1337,153500,161801.81,68920049.28,36.5650106,153500,165016.8844,132638625.7,6,5,2006,4500,1998,1998,405,2,0,FALSE,FALSE,FALSE,,
82,245000,1563,245000,186013.19,3479443754,39.5347948,245000,190903.8993,2926388108,8,5,2008,10206,2007,2007,758,3,1,TRUE,FALSE,FALSE,,
83,126500,1065,126500,132662.45,37975790,32.63433774,126500,130753.9952,18096475.57,5,5,2007,8892,1960,1960,461,2,0,FALSE,FALSE,FALSE,,
84,168500,1474,168500,176478.62,63658377.1,38.39270764,168500,180948.554,154966495.8,7,5,2009,8530,1995,1996,400,2,1,FALSE,FALSE,FALSE,,
85,260000,2417,260000,277502.21,306327354.9,49.16299421,260000,274830.988,219958203.8,8,5,2006,16059,1991,1992,462,2,1,FALSE,FALSE,FALSE,,
86,174000,1560,174000,185691.8,136698187.2,39.49683532,174000,190573.0141,274664795.9,6,5,2009,11911,2005,2005,400,2,1,FALSE,FALSE,FALSE,,
87,164500,1224,164500,149696.12,219154863.1,34.98571137,164500,151250.4489,175550605.4,6,5,2009,3951,2009,2009,528,2,0,FALSE,FALSE,FALSE,,
88,85000,1526,85000,182049.38,9418582158,39.06404997,85000,186800.5108,10363343993,3,2,2009,8470,1915,1982,0,0,0,TRUE,TRUE,FALSE,,
89,123600,990,123600,124627.7,1056167.29,31.46426545,123600,120554.709,9273797.08,4,5,2007,8070,1994,1995,0,0,0,TRUE,TRUE,FALSE,,
90,109900,1040,109900,129984.2,403375089.6,32.24903099,109900,127395.3534,306087389.2,4,5,2006,7200,1950,1950,420,2,0,FALSE,FALSE,FALSE,,
91,98600,1235,98600,150874.55,2732628578,35.14256678,98600,152617.7261,2917914735,5,3,2006,8500,1961,1961,480,2,0,FALSE,FALSE,FALSE,,
92,163500,964,163500,121842.32,1735362303,31.04834939,163500,116929.252,2168834571,5,7,2009,13360,1921,2006,432,2,0,FALSE,FALSE,FALSE,,
93,133900,2291,133900,264003.83,16927006581,47.86439178,133900,263511.3302,16799096923,6,6,2007,7200,1910,1998,506,2,1,FALSE,FALSE,FALSE,,
94,204750,1786,204750,209903.18,26555264.11,42.26109322,204750,214668.4974,98376589.97,6,5,2007,9337,1997,1997,684,2,0,FALSE,FALSE,FALSE,,
95,185000,1470,185000,176050.1,80100710.01,38.34057903,185000,180494.1592,20302600.88,6,8,2009,9765,1993,1993,420,2,1,FALSE,FALSE,FALSE,,
96,214000,1588,214000,188691.44,640523209.3,39.84971769,214000,193649.0192,414162421,7,5,2006,10264,1999,1999,472,2,0,FALSE,FALSE,FALSE,,
97,94750,960,94750,121413.8,710958230.4,30.98386677,94750,116367.1699,467302032.7,4,5,2007,10921,1965,1965,432,1,0,FALSE,FALSE,FALSE,,
98,83000,835,83000,108022.55,626128008.5,28.89636655,83000,98170.84797,230154628.3,5,5,2010,10625,1920,1950,366,1,0,FALSE,FALSE,FALSE,,
99,128950,1225,128950,149803.25,434858035.6,35,128950,151375,502880625,4,5,2010,9320,1959,1959,0,0,0,TRUE,TRUE,FALSE,,
100,205000,1610,205000,191048.3,194649932.9,40.1248053,205000,196046.9028,80157949.48,6,7,2010,10603,1977,2001,480,2,2,FALSE,FALSE,FALSE,,
101,178000,1732,178000,204118.16,682158281.8,41.61730409,178000,209056.7163,964519628.6,6,5,2010,9206,1985,1985,476,2,1,FALSE,FALSE,FALSE,,
102,118964,1535,118964,183013.55,4102344855,39.17907605,118964,187803.1701,4738831340,5,5,2009,7018,1979,1979,410,2,0,FALSE,FALSE,FALSE,,
103,198900,1226,198900,149910.38,2399982868,35.0142828,198900,151499.5003,2246807371,7,5,2010,10402,2009,2009,740,3,0,TRUE,FALSE,FALSE,,
104,169500,1818,169500,213331.34,1921186366,42.63801121,169500,217954.0161,2347791678,7,4,2007,7758,1931,1950,240,1,2,TRUE,FALSE,FALSE,,
105,250000,1992,250000,231971.96,325010226.2,44.63182721,250000,235333.7114,215100020.9,8,5,2008,9375,2003,2004,648,2,1,FALSE,FALSE,FALSE,,
106,100000,1047,100000,130734.11,944585517.5,32.35737937,100000,128339.8045,803144521,4,7,2007,10800,1885,1995,273,1,0,FALSE,FALSE,FALSE,,
107,115000,789,115000,103094.57,141739263.5,28.08914381,115000,91134.44877,569564535.7,5,5,2008,6000,1948,1950,250,1,0,TRUE,FALSE,FALSE,,
108,115000,1517,115000,181085.21,4367254981,38.94868419,115000,185794.8903,5011916497,5,7,2007,8500,1919,2005,0,0,0,TRUE,TRUE,FALSE,,
109,190000,1844,190000,216116.72,682083063.6,42.94182111,190000,220602.2662,936498698.2,6,6,2010,11751,1977,1977,546,2,1,FALSE,FALSE,FALSE,,
110,136900,1855,136900,217295.15,6463380144,43.06971093,136900,221717.0563,7193933035,6,4,2006,9525,1954,1972,325,1,0,FALSE,FALSE,FALSE,,
111,180000,1430,180000,171764.9,67816872.01,37.8153408,180000,175915.7627,16680994.27,7,5,2010,7750,2000,2000,400,2,1,FALSE,FALSE,FALSE,,
112,383970,2696,383970,307391.48,5864269725,51.92301994,383970,298889.5802,7238677827,7,5,2007,9965,2007,2007,792,3,1,TRUE,FALSE,FALSE,,
113,217000,2259,217000,260575.67,1898839016,47.52893855,217000,260587.2516,1899848500,6,5,2007,21000,1953,1953,450,2,2,FALSE,FALSE,FALSE,,
114,259500,2320,259500,267110.6,57921232.36,48.16637832,259500,266143.6865,44138570.28,6,8,2007,7259,1945,2002,180,1,1,TRUE,FALSE,FALSE,,
115,176000,1458,176000,174764.54,1526361.412,38.18376618,176000,179127.2531,9779711.785,6,5,2007,3230,1999,1999,440,2,1,FALSE,FALSE,FALSE,,
116,139000,1092,139000,135554.96,11868300.6,33.04542328,139000,134337.3457,21740345.31,5,5,2009,11616,1962,1962,288,1,1,FALSE,FALSE,FALSE,,
117,155000,1125,155000,139090.25,253120145.1,33.54101966,155000,138657.3602,267081875.8,5,5,2007,8536,2006,2007,430,2,0,FALSE,FALSE,FALSE,,
118,320000,3222,320000,363741.86,1913350316,56.76266379,320000,341075.7877,444188826.5,7,5,2010,12376,1990,1990,594,3,2,FALSE,FALSE,FALSE,,
119,163990,1456,163990,174550.28,111519513.7,38.15756806,163990,178898.8892,222274978.3,6,5,2006,8461,2005,2006,390,2,1,FALSE,FALSE,FALSE,,
120,180000,988,180000,124413.44,3089865653,31.43246729,180000,120277.5309,3566773318,6,5,2006,21453,1969,1969,540,2,2,FALSE,FALSE,FALSE,,
121,100000,1123,100000,138875.99,1511342598,33.51119216,100000,138397.3598,1474357241,4,5,2007,6060,1939,1950,264,1,0,FALSE,FALSE,FALSE,,
122,136000,1080,136000,134269.4,2994976.36,32.86335345,136000,132750.2794,10560684.27,6,7,2008,9464,1958,1958,288,1,0,FALSE,FALSE,FALSE,,
123,153900,1199,153900,147017.87,47363713.34,34.62657939,153900,148119.9672,33408779.23,6,5,2008,7892,1993,1993,530,2,0,FALSE,FALSE,FALSE,,
124,181000,1586,181000,188477.18,55908220.75,39.8246155,181000,193430.2084,154510081.4,6,5,2009,17043,1979,1998,435,2,1,FALSE,FALSE,FALSE,,
125,84500,754,84500,99345.02,220374618.8,27.45906044,84500,85642.138,1304479.22,6,8,2006,6780,1935,1982,0,0,0,TRUE,TRUE,FALSE,,
126,128000,958,128000,121199.54,46246256.21,30.95157508,128000,116085.6897,141950790.7,6,5,2007,4928,1976,1976,440,2,1,FALSE,FALSE,FALSE,,
127,87000,840,87000,108558.2,464755987.2,28.98275349,87000,98923.86564,142178571.9,5,7,2007,4388,1930,1950,0,0,1,TRUE,TRUE,FALSE,,
128,155000,1348,155000,162980.24,63684230.46,36.7151195,155000,166325.3537,128263635.7,6,5,2006,7590,1966,1966,453,2,1,FALSE,FALSE,FALSE,,
129,150000,1053,150000,131376.89,346820226.1,32.44996148,150000,129146.8242,434854940,5,7,2006,8973,1958,1991,750,2,0,TRUE,FALSE,FALSE,,
130,226000,2157,226000,249648.41,559247295.5,46.44351408,226000,251125.8235,631307007.7,7,6,2006,14200,1966,1966,487,2,2,FALSE,FALSE,FALSE,,
131,244000,2054,244000,238614.02,29008780.56,45.32107677,244000,241341.762,7066229.116,6,5,2009,12224,2000,2000,390,2,1,FALSE,FALSE,FALSE,,
132,150750,1327,150750,160730.51,99610579.86,36.4280112,150750,163822.688,170895172.3,5,6,2007,7388,1959,2002,624,2,0,FALSE,FALSE,FALSE,,
133,220000,1296,220000,157409.48,3917573194,36,220000,160091.8,3588992427,8,5,2009,6853,2001,2002,471,2,0,FALSE,FALSE,FALSE,,
134,180000,1721,180000,202939.73,526231212.5,41.48493703,180000,207902.8991,778571776.1,5,6,2006,10335,1968,1993,440,2,1,FALSE,FALSE,FALSE,,
135,174000,1682,174000,198761.66,613139806,41.01219331,174000,203782.0866,886972684.3,7,6,2008,10400,1970,1970,530,2,1,FALSE,FALSE,FALSE,,
136,143000,1214,143000,148624.82,31638600.03,34.84250278,143000,150002.1282,49029799.83,5,5,2007,10355,1967,1967,318,1,1,FALSE,FALSE,FALSE,,
137,171000,1959,171000,228436.67,3298971061,44.26059195,171000,232097.7279,3732932359,7,5,2006,11070,1988,1989,766,3,0,TRUE,FALSE,FALSE,,
138,230000,1852,230000,216973.76,169682928.5,43.03486958,230000,221413.3512,73730537.98,8,5,2008,9066,1999,2000,660,3,2,FALSE,FALSE,FALSE,,
139,231500,1764,231500,207546.32,573778785.5,42,231500,212392.6,365092734.8,6,5,2009,15426,1997,1997,470,2,0,FALSE,FALSE,FALSE,,
140,115000,864,115000,111129.32,14982163.66,29.39387691,115000,102507.5463,156061400,4,5,2010,10500,1971,1971,0,0,1,TRUE,TRUE,FALSE,,
141,260000,1734,260000,204332.42,3098879463,41.64132563,260000,209266.1072,2573927876,7,5,2006,11645,2005,2005,660,2,0,FALSE,FALSE,FALSE,,
142,166000,1385,166000,166944.05,891230.4025,37.21558813,166000,170687.8386,21975831,5,4,2010,8520,1952,1952,720,2,0,TRUE,FALSE,FALSE,,
143,204000,1501,204000,179371.13,606581237.5,38.74274126,204000,183999.727,400010921,7,5,2009,10335,1999,1999,577,2,0,FALSE,FALSE,FALSE,,
144,125000,1728,125000,203689.64,6192059443,41.56921938,125000,208637.5715,6995243367,5,5,2006,9100,1963,1963,504,2,0,FALSE,FALSE,FALSE,,
145,130000,1709,130000,201654.17,5134320078,41.34005322,130000,206639.9759,5873685903,6,5,2006,2522,2004,2006,380,2,0,FALSE,FALSE,FALSE,,
146,105000,875,105000,112307.75,53403210.06,29.58039892,105000,104133.4213,750958.7012,5,7,2009,6120,1931,1993,180,1,0,TRUE,FALSE,FALSE,,
147,222500,2035,222500,236578.55,198205570.1,45.11097427,222500,239510.3406,289351685.8,7,5,2010,9505,2001,2001,434,2,1,FALSE,FALSE,FALSE,,
148,141000,1080,141000,134269.4,45300976.36,32.86335345,141000,132750.2794,68057890.71,7,5,2008,7500,2004,2005,0,0,0,TRUE,TRUE,FALSE,,
149,115000,1344,115000,162551.72,2261166075,36.66060556,115000,165850.1665,2585739437,5,4,2006,6240,1936,1950,240,1,0,TRUE,FALSE,FALSE,,
150,122000,969,122000,122377.97,142861.3209,31.12876483,122000,117630.2173,19095000.91,5,6,2007,10356,1975,1975,440,2,0,FALSE,FALSE,FALSE,,
151,372402,1710,372402,201761.3,29118248496,41.35214626,372402,206745.3885,27442112938,8,5,2008,13891,2007,2008,866,3,1,TRUE,FALSE,FALSE,,
152,190000,1993,190000,232079.09,1770649815,44.64302857,190000,235431.3514,2064007694,6,5,2006,14803,1971,1971,495,2,1,FALSE,FALSE,FALSE,,
153,235000,1252,235000,152695.76,6773987922,35.38361203,235000,154718.8693,6445059945,6,7,2008,13500,1960,1975,564,2,1,FALSE,FALSE,FALSE,,
154,125000,1200,125000,147125,489515625,34.64101615,125000,148245.8096,540367663.4,6,5,2006,11340,1923,1950,312,1,0,FALSE,FALSE,FALSE,,
155,79000,1096,79000,135983.48,3247116993,33.10589071,79000,134864.4282,3120834336,6,5,2008,9600,1924,1950,0,0,0,TRUE,TRUE,FALSE,,
156,109500,1040,109500,129984.2,419602449.6,32.24903099,109500,127395.3534,320243671.9,5,7,2006,7200,1950,1950,625,2,0,FALSE,FALSE,FALSE,,
157,269500,1968,269500,229400.84,1607942633,44.36214603,269500,232982.9545,1333494614,8,5,2010,12003,2009,2010,680,3,1,FALSE,FALSE,FALSE,,
158,254900,1947,254900,227151.11,770000896.2,44.12482295,254900,230914.2567,575315883.9,7,5,2010,12552,2004,2005,678,2,1,FALSE,FALSE,FALSE,,
159,320000,2462,320000,282323.06,1419551808,49.61854492,320000,278801.9324,1697280777,7,5,2006,19378,2005,2006,576,2,1,FALSE,FALSE,FALSE,,
160,162500,1232,162500,150553.16,142726986,35.09985755,162500,152245.4383,105156035.9,6,6,2008,11120,1984,1984,516,2,0,FALSE,FALSE,FALSE,,
161,412500,2668,412500,304391.84,11687374259,51.65268628,412500,296533.1358,13448313599,9,5,2008,13688,2003,2004,726,3,2,TRUE,FALSE,FALSE,,
162,220000,1541,220000,183656.33,1320862349,39.25557285,220000,188469.9774,994142322.4,7,5,2010,12182,2005,2005,532,2,1,FALSE,FALSE,FALSE,,
163,103200,882,103200,113057.66,97173460.68,29.69848481,103200,105162.7524,3852396.946,4,6,2007,5500,1956,1956,0,0,0,TRUE,TRUE,FALSE,,
164,152000,1616,152000,191691.08,1575381832,40.19950248,152000,196698.0233,1997913283,6,7,2007,5400,1926,2004,216,1,0,TRUE,FALSE,FALSE,,
165,127500,1355,127500,163730.15,1312623769,36.81032464,127500,167155.2378,1572537886,5,7,2008,10106,1940,1999,0,0,0,TRUE,TRUE,FALSE,,
166,190000,1867,190000,218580.71,816856984.1,43.2087954,190000,222929.4278,1084347212,5,5,2009,10708,1955,1993,303,1,3,FALSE,FALSE,FALSE,,
167,325624,2161,325624,250076.93,5707359786,46.4865572,325624,251501.0218,5494215901,8,5,2007,10562,2007,2007,789,3,1,TRUE,FALSE,FALSE,,
168,183500,1720,183500,202832.6,373749422.8,41.47288271,183500,207797.824,590384250,7,5,2007,8244,2004,2004,440,2,1,FALSE,FALSE,FALSE,,
169,228000,1707,228000,201439.91,705438380.8,41.31585652,228000,206429.0581,465305533.8,8,6,2006,16669,1981,1981,511,2,1,FALSE,FALSE,FALSE,,
