,SalePrice,GrLivArea,OverallQual,OverallCond,YrSold,LotArea,YearBuilt,YearRemodAdd,GarageArea,GarageCars,Fireplaces
53,385000,1842,9,5,2006,50271,1981,1987,894,3,1
54,130000,1360,5,5,2007,7134,1955,1955,572,2,1
55,180500,1425,6,5,2008,10175,1964,1964,576,2,1
56,172500,1739,8,5,2009,2645,1999,2000,480,2,0
57,196500,1720,7,5,2006,11645,2004,2004,565,2,0
58,438780,2945,10,5,2006,13682,2006,2006,641,3,1
59,124900,780,5,7,2008,7200,1972,1972,352,1,0
60,158000,1158,6,5,2006,13072,2004,2004,576,2,0
61,101000,1111,5,7,2007,7200,1920,1996,288,1,0
62,202500,1370,8,5,2007,6442,2006,2006,484,2,1
63,140000,1710,7,6,2010,10300,1921,1950,480,2,0
64,219500,2034,7,5,2009,9375,1997,1998,645,2,0
65,317000,2473,8,5,2007,9591,2004,2005,852,3,1
66,180000,2207,7,5,2010,19900,1970,1989,576,2,1
67,226000,1479,7,5,2007,10665,2003,2003,558,2,0
68,80000,747,4,6,2010,4608,1945,1950,220,1,0
69,225000,2287,7,4,2006,15593,1953,1953,667,2,1
70,244000,2223,7,6,2007,13651,1973,1973,516,2,2
71,129500,845,4,6,2007,7599,1982,2006,360,2,0
72,185000,1718,7,5,2009,10141,1998,1998,427,2,1
73,144900,1086,5,7,2010,10200,1954,2003,490,2,0
74,107400,1605,3,6,2010,5790,1915,1950,379,1,0
75,91000,988,4,5,2009,1596,1973,1973,297,1,0
76,135750,952,4,7,2008,8475,1956,1956,283,1,0
77,127000,1285,5,5,2008,8635,1948,2001,240,1,0
78,136500,1768,4,5,2010,10778,1968,1968,0,0,0
79,110000,1230,5,6,2009,10440,1910,1981,440,2,0
80,193500,2142,6,6,2009,13000,1968,1968,509,1,1
81,153500,1337,6,5,2006,4500,1998,1998,405,2,0
82,245000,1563,8,5,2008,10206,2007,2007,758,3,1
83,126500,1065,5,5,2007,8892,1960,1960,461,2,0
84,168500,1474,7,5,2009,8530,1995,1996,400,2,1
85,260000,2417,8,5,2006,16059,1991,1992,462,2,1
86,174000,1560,6,5,2009,11911,2005,2005,400,2,1
87,164500,1224,6,5,2009,3951,2009,2009,528,2,0
88,85000,1526,3,2,2009,8470,1915,1982,0,0,0
89,123600,990,4,5,2007,8070,1994,1995,0,0,0
90,109900,1040,4,5,2006,7200,1950,1950,420,2,0
91,98600,1235,5,3,2006,8500,1961,1961,480,2,0
92,163500,964,5,7,2009,13360,1921,2006,432,2,0
93,133900,2291,6,6,2007,7200,1910,1998,506,2,1
94,204750,1786,6,5,2007,9337,1997,1997,684,2,0
95,185000,1470,6,8,2009,9765,1993,1993,420,2,1
96,214000,1588,7,5,2006,10264,1999,1999,472,2,0
97,94750,960,4,5,2007,10921,1965,1965,432,1,0
98,83000,835,5,5,2010,10625,1920,1950,366,1,0
99,128950,1225,4,5,2010,9320,1959,1959,0,0,0
100,205000,1610,6,7,2010,10603,1977,2001,480,2,2
101,178000,1732,6,5,2010,9206,1985,1985,476,2,1
102,118964,1535,5,5,2009,7018,1979,1979,410,2,0
103,198900,1226,7,5,2010,10402,2009,2009,740,3,0
104,169500,1818,7,4,2007,7758,1931,1950,240,1,2
105,250000,1992,8,5,2008,9375,2003,2004,648,2,1
106,100000,1047,4,7,2007,10800,1885,1995,273,1,0
107,115000,789,5,5,2008,6000,1948,1950,250,1,0
108,115000,1517,5,7,2007,8500,1919,2005,0,0,0
109,190000,1844,6,6,2010,11751,1977,1977,546,2,1
110,136900,1855,6,4,2006,9525,1954,1972,325,1,0
111,180000,1430,7,5,2010,7750,2000,2000,400,2,1
112,383970,2696,7,5,2007,9965,2007,2007,792,3,1
113,217000,2259,6,5,2007,21000,1953,1953,450,2,2
114,259500,2320,6,8,2007,7259,1945,2002,180,1,1
115,176000,1458,6,5,2007,3230,1999,1999,440,2,1
116,139000,1092,5,5,2009,11616,1962,1962,288,1,1
117,155000,1125,5,5,2007,8536,2006,2007,430,2,0
118,320000,3222,7,5,2010,12376,1990,1990,594,3,2
119,163990,1456,6,5,2006,8461,2005,2006,390,2,1
120,180000,988,6,5,2006,21453,1969,1969,540,2,2
121,100000,1123,4,5,2007,6060,1939,1950,264,1,0
122,136000,1080,6,7,2008,9464,1958,1958,288,1,0
123,153900,1199,6,5,2008,7892,1993,1993,530,2,0
124,181000,1586,6,5,2009,17043,1979,1998,435,2,1
125,84500,754,6,8,2006,6780,1935,1982,0,0,0
126,128000,958,6,5,2007,4928,1976,1976,440,2,1
127,87000,840,5,7,2007,4388,1930,1950,0,0,1
128,155000,1348,6,5,2006,7590,1966,1966,453,2,1
129,150000,1053,5,7,2006,8973,1958,1991,750,2,0
130,226000,2157,7,6,2006,14200,1966,1966,487,2,2
131,244000,2054,6,5,2009,12224,2000,2000,390,2,1
132,150750,1327,5,6,2007,7388,1959,2002,624,2,0
133,220000,1296,8,5,2009,6853,2001,2002,471,2,0
134,180000,1721,5,6,2006,10335,1968,1993,440,2,1
135,174000,1682,7,6,2008,10400,1970,1970,530,2,1
136,143000,1214,5,5,2007,10355,1967,1967,318,1,1
137,171000,1959,7,5,2006,11070,1988,1989,766,3,0
138,230000,1852,8,5,2008,9066,1999,2000,660,3,2
139,231500,1764,6,5,2009,15426,1997,1997,470,2,0
140,115000,864,4,5,2010,10500,1971,1971,0,0,1
141,260000,1734,7,5,2006,11645,2005,2005,660,2,0
142,166000,1385,5,4,2010,8520,1952,1952,720,2,0
143,204000,1501,7,5,2009,10335,1999,1999,577,2,0
144,125000,1728,5,5,2006,9100,1963,1963,504,2,0
145,130000,1709,6,5,2006,2522,2004,2006,380,2,0
146,105000,875,5,7,2009,6120,1931,1993,180,1,0
147,222500,2035,7,5,2010,9505,2001,2001,434,2,1
148,141000,1080,7,5,2008,7500,2004,2005,0,0,0
149,115000,1344,5,4,2006,6240,1936,1950,240,1,0
150,122000,969,5,6,2007,10356,1975,1975,440,2,0
151,372402,1710,8,5,2008,13891,2007,2008,866,3,1
152,190000,1993,6,5,2006,14803,1971,1971,495,2,1
153,235000,1252,6,7,2008,13500,1960,1975,564,2,1
154,125000,1200,6,5,2006,11340,1923,1950,312,1,0
155,79000,1096,6,5,2008,9600,1924,1950,0,0,0
156,109500,1040,5,7,2006,7200,1950,1950,625,2,0
157,269500,1968,8,5,2010,12003,2009,2010,680,3,1
158,254900,1947,7,5,2010,12552,2004,2005,678,2,1
159,320000,2462,7,5,2006,19378,2005,2006,576,2,1
160,162500,1232,6,6,2008,11120,1984,1984,516,2,0
161,412500,2668,9,5,2008,13688,2003,2004,726,3,2
162,220000,1541,7,5,2010,12182,2005,2005,532,2,1
163,103200,882,4,6,2007,5500,1956,1956,0,0,0
164,152000,1616,6,7,2007,5400,1926,2004,216,1,0
165,127500,1355,5,7,2008,10106,1940,1999,0,0,0
166,190000,1867,5,5,2009,10708,1955,1993,303,1,3
167,325624,2161,8,5,2007,10562,2007,2007,789,3,1
168,183500,1720,7,5,2007,8244,2004,2004,440,2,1
169,228000,1707,8,6,2006,16669,1981,1981,511,2,1
170,128500,1382,5,6,2007,12358,1941,1950,660,2,0
171,215000,1656,6,5,2010,31770,1960,1960,528,2,2
172,239000,1767,7,7,2006,5306,1987,1987,504,2,1
173,163000,1362,6,5,2008,10197,1961,1961,504,2,1
174,184000,1651,6,5,2008,12416,1986,1986,616,2,1
175,243000,2158,6,7,2007,12615,1950,2001,576,2,1
176,211000,2060,6,5,2007,10029,1988,1989,521,2,1
177,172500,1920,5,5,2006,13650,1958,1958,451,2,1
178,501837,2234,9,5,2009,17423,2008,2009,1166,3,1
179,100000,968,5,6,2007,8520,1923,2006,480,2,0
180,177000,1525,6,5,2007,2117,2000,2000,440,2,1
181,200100,1802,7,6,2006,7588,1920,1950,216,1,1
182,120000,1340,5,6,2007,9060,1957,2006,252,1,1
183,200000,2082,7,5,2008,11426,2003,2003,484,2,0
184,127000,1252,5,8,2006,7438,1908,1991,576,2,0
185,475000,3608,10,9,2006,22950,1892,1993,840,3,2
186,173000,1217,7,5,2009,9947,1990,1991,497,2,0
187,135000,1656,5,7,2009,10410,1916,1987,180,1,0
188,153337,1224,5,5,2009,7018,1979,1979,528,2,2
189,286000,1593,8,5,2008,4923,2001,2002,682,2,1
190,315000,2727,8,8,2007,10570,1932,1994,440,2,2
191,184000,1479,7,9,2007,7472,1972,2004,484,2,0
192,192000,1431,7,5,2009,9017,1999,1999,666,2,0
193,130000,1709,7,5,2006,2522,2004,2004,380,2,0
194,127000,864,5,7,2008,7180,1972,1972,352,1,0
195,148500,1456,6,6,2009,2280,1976,1976,440,2,1
196,311872,1726,7,5,2007,9416,2007,2007,786,3,1
197,235000,3112,8,4,2006,25419,1918,1990,795,2,1
198,104000,2229,6,6,2009,5520,1912,1950,0,0,0
199,274900,1713,8,5,2009,9591,2004,2005,856,3,1
200,140000,1121,4,5,2010,8546,2003,2004,440,2,0
201,171500,1279,6,6,2008,10125,1977,1977,473,2,2
202,112000,1310,6,6,2006,7000,1924,1950,398,1,0
203,149000,848,6,5,2008,4438,2004,2004,420,2,1
204,110000,1284,5,7,2009,3500,1947,1950,240,1,0
205,180500,1442,7,5,2009,11851,1990,1990,500,2,0
206,143900,1696,5,5,2007,13673,1962,1962,349,1,1
207,141000,1100,4,5,2008,12493,1960,1960,312,1,1
208,277000,2062,7,5,2007,14364,1988,1989,454,2,1
209,145000,1092,6,7,2008,8250,1964,1964,504,2,0
210,98000,864,5,6,2008,5604,1925,1950,0,0,0
211,186000,1212,6,5,2010,10420,2009,2009,460,2,0
212,252678,1852,7,5,2009,8640,2009,2009,644,2,1
213,156000,990,5,5,2006,13568,1995,1995,576,2,0
214,161750,1392,6,7,2010,10900,1977,1977,299,1,0
215,134450,1236,5,6,2006,10011,1957,1996,447,1,1
216,210000,1436,7,5,2008,8450,2004,2004,484,2,0
217,107000,1328,4,4,2006,9906,1925,1950,210,1,0
218,311500,1954,7,9,2008,15660,1939,2006,431,2,2
219,167240,1248,7,5,2006,3010,2005,2006,438,2,0
220,204900,1498,7,5,2006,8990,2006,2006,675,2,0
221,200000,2267,6,5,2009,8068,2002,2002,390,2,1
222,179900,1552,6,6,2006,11475,1975,1975,434,2,1
223,97000,864,4,6,2009,10500,1971,1971,576,2,0
224,386250,2392,10,5,2009,13472,2003,2003,968,3,1
225,112000,1302,5,5,2009,1680,1971,1971,280,1,0
226,290000,2520,7,5,2007,9950,1995,1995,721,3,1
227,106000,987,6,6,2008,1869,1970,1970,280,1,0
228,125000,912,5,5,2010,8521,1967,1967,336,1,1
229,192500,1555,7,5,2009,3182,2005,2006,430,2,1
230,148000,1194,6,6,2010,8760,1959,1959,312,1,0
231,403000,2794,8,5,2009,15138,1995,1996,810,3,1
232,94500,987,6,5,2006,1680,1972,1972,288,1,1
233,128200,894,5,6,2010,10650,1976,1976,308,1,0
234,216500,1960,6,5,2010,7851,2002,2002,440,2,2
235,89500,987,6,3,2008,1680,1971,1971,264,1,0
236,185500,1414,7,5,2010,8773,2004,2004,494,2,0
237,194500,1744,7,7,2010,9453,1993,2003,457,2,0
238,318000,1694,8,5,2007,12030,2007,2007,818,3,0
239,113000,1487,6,4,2010,8741,1945,1950,220,1,1
240,262500,1566,8,5,2010,9000,2008,2008,750,2,0
241,110500,866,5,9,2007,3880,1945,1997,0,0,0
242,79000,1440,5,4,2006,5000,1900,1950,352,1,0
243,120000,1217,6,6,2009,10762,1980,1980,288,1,1
244,205000,2110,7,5,2010,8880,1994,2002,463,2,2
245,241500,1872,7,5,2006,10400,1988,1988,604,2,1
246,137000,1928,6,8,2006,9142,1910,1950,440,1,0
247,140000,1375,6,5,2006,11310,1954,1954,451,2,1
248,180000,1668,7,5,2007,11317,2003,2003,500,2,0
249,277000,2144,6,7,2007,159000,1958,2006,389,2,2
250,76500,1306,3,2,2010,5350,1940,1966,0,0,0
251,235000,1625,8,5,2007,4750,2006,2007,538,2,1
252,173000,1640,6,5,2008,8366,2004,2004,520,2,0
253,158000,1302,6,7,2007,9350,1964,1991,309,1,0
254,145000,1314,5,6,2010,8400,1957,1957,294,1,0
255,230000,2291,7,5,2006,8738,1999,1999,429,2,1
256,207500,1728,6,5,2008,8791,2003,2003,673,2,0
257,220000,1604,7,5,2009,8814,2006,2006,660,2,1
258,231500,1792,7,5,2008,12435,2001,2001,564,2,1
259,97000,882,5,5,2008,12702,1956,1956,308,1,0
260,176000,1382,6,5,2009,19296,1962,1962,884,2,1
261,276000,2574,8,5,2007,9588,2007,2007,868,3,1
262,151000,1212,6,7,2006,8471,1977,1995,492,2,1
263,130000,1316,5,7,2010,5500,1929,2001,484,2,0
264,73000,764,5,5,2008,5232,1925,2004,504,2,0
265,175500,1422,6,6,2008,12090,1981,1981,576,2,1
266,185000,1511,6,5,2006,11207,1997,1997,413,2,1
267,179500,2192,5,8,2008,8400,1939,1997,240,1,1
268,120500,778,5,6,2008,6900,1940,1955,924,1,1
269,148000,1113,6,7,2007,7917,1976,1976,504,1,1
270,266000,1939,8,5,2006,10728,2006,2006,1053,3,1
271,241500,1363,7,7,2008,39104,1954,2005,439,2,2
272,290000,2270,8,7,2010,11764,1999,2007,671,3,1
273,139000,1632,6,6,2009,9600,1958,1988,338,1,1
274,124500,816,5,7,2007,8314,1982,1982,264,1,0
275,205000,1548,7,7,2009,7264,1925,2007,672,2,0
276,201000,1560,7,5,2010,9196,2003,2003,573,2,0
277,141000,864,4,5,2010,19138,1951,1951,400,2,0
278,415298,2121,9,5,2007,14450,2006,2007,732,3,1
279,192000,2022,7,5,2008,10005,1977,1977,505,2,1
280,228500,1982,7,6,2007,11287,1989,1989,575,2,1
281,185000,1262,6,5,2006,7200,2006,2006,572,2,0
282,207500,1314,7,5,2009,5063,2007,2008,626,2,1
283,244600,1468,8,5,2009,9612,2008,2009,898,3,1
284,179200,1575,6,5,2007,8012,1992,1992,529,2,0
285,164700,1250,7,5,2007,4251,2006,2007,528,2,0
286,159000,1734,6,7,2006,9786,1962,1981,440,2,1
287,88000,858,4,4,2006,8125,1971,1971,0,0,0
288,122000,900,5,5,2010,9819,1967,1967,280,1,0
289,153575,1396,6,7,2007,8730,1915,2003,384,1,0
290,233230,1919,8,5,2006,15611,2006,2006,685,2,1
291,135900,1716,5,6,2008,5687,1912,2000,0,0,0
292,131000,1716,5,4,2009,11409,1949,2008,281,1,1
293,235000,2263,7,7,2006,16659,1977,1994,539,2,1
294,167000,1644,6,5,2009,9600,1953,1953,418,2,2
295,142500,1003,6,6,2006,7937,1984,1984,588,2,0
296,152000,1558,5,5,2007,13710,1950,1950,282,1,0
297,239000,1950,7,5,2007,7399,1997,1998,576,2,1
298,175000,1743,6,6,2007,11700,1968,1968,539,2,1
299,158500,1152,6,8,2009,14000,1950,2004,300,1,1
300,157000,1336,5,5,2006,15750,1953,1953,375,1,2
301,267000,2452,8,5,2007,16226,1998,1999,683,2,1
302,205000,1541,7,5,2006,13704,2001,2002,843,3,1
303,149900,894,5,7,2006,9800,1972,1972,552,2,0
304,295000,3493,7,9,2008,18386,1880,2002,870,3,1
305,305900,2000,8,5,2007,10386,2004,2005,888,3,0
306,225000,2243,7,5,2007,13474,1990,1991,746,3,1
307,89500,1406,6,7,2008,7920,1920,1950,0,0,0
308,82500,861,4,5,2009,12342,1940,1950,539,2,0
309,360000,1944,9,5,2006,12378,2003,2004,708,3,3
310,165600,1501,6,5,2006,7685,1993,1994,420,2,1
311,132000,972,6,6,2009,8000,1948,2002,240,1,1
312,119900,1118,5,7,2006,7800,1939,1950,410,2,1
313,375000,2036,7,5,2009,215245,1965,1965,513,2,2
314,178000,1641,7,7,2006,9600,1925,1990,546,2,1
315,188500,1432,7,5,2009,7795,2004,2005,432,2,1
316,260000,2353,7,7,2009,13005,1980,1980,484,2,1
317,270000,1959,8,5,2007,9000,2006,2006,1025,3,1
318,260000,2646,7,5,2009,9900,1993,1993,656,3,1
319,187500,1472,7,5,2009,14115,1980,1980,588,2,2
320,342643,2596,9,5,2006,16259,2006,2006,840,3,0
321,354000,2468,8,5,2007,12099,2004,2004,872,3,1
322,301000,2730,7,5,2007,10380,1986,1987,576,2,1
323,126175,1163,3,8,2006,5820,1955,2005,220,1,0
324,242000,2978,7,7,2010,11275,1967,2007,564,2,1
325,87000,803,5,6,2007,5000,1941,1950,360,2,0
326,324000,1719,8,5,2008,10846,1993,1993,473,2,2
327,145250,1383,6,5,2006,11600,1960,1960,292,1,0
328,214500,2134,6,6,2009,11888,1916,1994,441,2,0
329,78000,1192,5,5,2009,6402,1920,1950,189,1,0
330,119000,1728,5,4,2007,10624,1964,1964,352,1,0
331,139000,1056,5,6,2007,8176,1958,1992,308,1,0
332,284000,1629,8,5,2009,10655,2003,2004,880,3,1
333,207000,1358,7,5,2008,8198,2004,2004,484,2,1
334,192000,1638,6,5,2008,9042,1998,1998,472,2,2
335,228950,1786,5,6,2008,164660,1965,1965,529,2,2
336,377426,1922,9,5,2007,14157,2005,2006,676,3,1
337,214000,1536,7,5,2008,9135,2002,2003,532,2,0
338,202500,1621,7,7,2006,14145,1984,1998,440,2,0
339,155000,1215,6,7,2009,12400,1958,1998,297,1,0
340,202900,1908,8,5,2010,14191,2002,2002,431,2,0
341,82000,841,4,4,2009,8400,1950,1950,294,1,0
342,87500,1040,3,4,2006,8544,1949,1950,400,2,0
343,266000,1684,9,5,2008,8849,2005,2005,564,2,1
344,85000,1112,5,3,2010,2592,1976,1976,336,1,0
345,140200,1577,6,5,2006,6435,1939,1950,312,1,1
346,151500,958,6,8,2007,12772,1960,1998,301,1,0
347,157500,1478,6,5,2009,17600,1960,1960,498,2,2
348,154000,1626,7,5,2008,2448,2003,2004,474,2,0
349,437154,2728,9,5,2006,20431,2005,2006,706,3,2
350,318061,1869,9,5,2007,7820,2007,2007,617,2,1
351,190000,1453,7,5,2006,5271,1986,1986,445,2,1
352,95000,1111,5,6,2008,9084,1941,1950,200,1,0
353,105900,720,6,8,2010,8520,1928,2003,484,2,0
354,140000,1595,6,5,2006,8400,1940,2000,240,1,2
355,177500,1200,6,5,2007,11249,1995,1995,521,2,0
356,173000,1167,6,6,2009,9248,1992,1992,400,2,0
357,134000,1142,5,5,2007,4224,1976,1976,528,2,1
358,130000,1352,5,4,2006,6930,1958,1958,288,1,0
359,280000,1924,8,5,2006,12011,1998,1998,592,2,1
360,156000,912,6,6,2007,7540,1978,1978,470,2,1
361,145000,1505,5,5,2008,9144,1940,1982,240,1,0
362,198500,1922,7,5,2009,7301,2003,2003,672,2,1
363,118000,987,6,8,2009,1680,1972,2007,264,1,0
364,190000,1574,6,5,2006,18800,1976,1976,566,2,1
365,147000,1344,5,7,2009,10690,1920,1997,468,1,0
366,159000,1394,6,5,2009,9500,1963,1963,514,2,2
367,165000,1431,6,5,2008,9150,1962,1962,296,1,1
368,132000,1268,5,6,2010,7800,1954,1954,244,1,1
369,162000,1287,5,7,2010,9830,1959,2006,576,2,1
370,172400,1664,6,5,2006,8121,2000,2000,460,2,1
371,134432,1588,4,4,2008,17120,1959,1959,680,2,1
372,125000,752,6,5,2010,7175,1984,1984,264,1,0
373,123000,1319,5,6,2009,10634,1953,1953,270,1,0
374,219500,1928,7,5,2007,8200,2003,2004,434,2,1
375,61000,904,1,1,2009,10020,1922,1950,0,0,0
376,148000,914,5,5,2006,8846,1996,1996,576,2,0
377,340000,2466,8,5,2007,11143,2004,2005,610,2,1
378,394432,1856,9,2,2010,11394,2010,2010,834,3,1
379,179000,1800,6,5,2009,8123,2000,2000,463,2,1
380,127000,1691,5,6,2010,5000,1924,1950,308,1,1
381,187750,1301,7,5,2006,7200,2006,2006,572,2,1
382,213500,1797,7,5,2007,9245,2006,2006,639,2,0
383,76000,784,6,3,2009,9000,1928,1950,360,2,0
384,240000,1953,6,5,2007,53107,1992,1992,501,2,2
385,192000,1269,8,5,2010,3182,2004,2005,430,2,1
386,81000,1184,5,3,2006,8410,1910,1996,0,0,0
387,125000,1125,6,6,2009,7200,1976,1976,352,1,1
388,191000,1479,7,5,2008,9382,1999,2000,577,2,0
389,426000,2332,10,5,2008,12474,2007,2008,846,3,1
390,119000,1367,5,8,2008,8405,1900,1950,384,1,0
391,215000,1961,6,5,2009,12209,2001,2002,560,2,1
392,106500,882,5,7,2007,8339,1959,1959,294,1,0
393,100000,788,4,5,2006,7446,1941,1950,0,0,2
394,109000,1034,5,6,2007,10134,1940,1950,240,1,0
395,129000,1144,5,6,2010,9571,1956,1956,596,1,0
396,123000,894,5,5,2009,7200,1972,1972,600,2,0
397,169500,1812,5,5,2007,7590,1962,1962,264,1,1
398,67000,1077,5,2,2007,8967,1920,1950,338,1,0
399,241000,1550,7,5,2009,8125,2006,2007,438,2,0
400,245500,1288,8,5,2008,14963,1996,1996,500,2,2
401,164990,1310,7,5,2006,8767,2005,2005,400,2,1
402,108000,672,5,8,2008,10200,1940,1997,240,1,0
403,258000,2263,8,5,2006,12090,1998,1998,420,2,1
404,168000,1572,6,5,2007,10364,1995,1996,373,2,1
405,150000,1620,4,4,2009,9991,1976,1993,490,2,1
406,115000,1639,6,5,2008,10480,1936,1950,240,1,0
407,177000,1680,6,7,2008,15576,1915,1976,308,1,0
408,280000,2172,7,5,2007,14154,2006,2006,947,3,1
409,339750,2078,8,5,2008,10800,2007,2008,836,3,1
410,60000,1276,5,3,2009,9571,1958,1958,350,1,0
411,145000,1056,5,5,2006,34650,1955,1955,572,2,0
412,222000,1478,7,5,2010,4403,2009,2009,484,2,1
413,115000,1028,5,6,2010,8960,1927,1950,360,2,1
414,228000,2097,7,5,2008,11228,1993,1993,678,3,1
415,181134,1340,7,5,2007,8899,2007,2007,396,2,0
416,149500,1400,6,7,2006,7844,1978,1978,440,2,1
417,239000,2624,6,6,2007,22420,1918,1950,864,3,1
418,126000,1134,5,6,2007,8160,1940,1950,240,1,0
419,142000,1056,5,6,2010,8450,1968,1968,304,1,1
420,206300,1344,7,5,2008,7060,1997,1998,784,4,0
421,215000,1602,6,7,2009,16635,1977,2000,529,2,1
422,113000,988,5,5,2008,21750,1954,1954,520,2,0
423,315000,2630,8,5,2008,9200,1998,1998,696,3,1
424,139000,1196,6,5,2008,9000,1956,1956,297,1,1
425,135000,1389,7,8,2009,3378,1946,1992,240,1,2
426,275000,1644,7,5,2009,12800,1989,1989,569,2,1
427,109008,907,4,6,2008,8593,1957,1957,352,1,0
428,195400,1208,7,5,2007,6762,2007,2007,628,2,0
429,175000,1412,6,5,2009,11457,1988,1988,576,2,1
430,85400,987,6,5,2008,1680,1971,1971,264,1,0
431,79900,1198,6,7,2008,5586,1920,1998,0,0,0
432,122500,1365,5,5,2007,1920,1971,1971,440,2,0
433,181000,1604,6,5,2008,10839,1997,1998,470,2,1
434,81000,630,4,7,2008,1890,1972,1972,0,0,0
435,212000,1661,7,6,2009,10667,1996,1996,550,2,1
436,116000,1118,6,8,2006,4400,1920,1950,440,2,0
437,119000,904,6,7,2009,6000,1926,2004,180,1,0
438,90350,694,5,6,2007,4280,1913,2002,352,1,1
439,110000,1196,6,8,2009,12354,1920,2000,528,2,0
440,555000,2402,10,5,2009,15431,2008,2008,672,3,2
441,118000,1440,4,4,2008,12108,1955,1955,0,0,0
442,162900,1573,5,7,2008,6240,1930,1992,360,2,1
443,172500,1258,7,5,2007,3922,2006,2007,648,3,1
444,210000,1908,7,5,2008,8750,1994,1995,493,2,1
445,127500,1689,6,5,2009,9855,1956,1956,480,2,1
446,190000,1888,6,6,2010,16492,1966,2002,578,2,1
447,199900,1886,7,5,2006,11214,1998,1999,431,2,1
448,119500,1376,6,6,2006,8600,1937,1950,198,1,1
449,120000,1183,3,7,2007,6000,1948,2002,308,1,0
450,110000,813,6,8,2006,5684,1930,2005,270,1,0
451,280000,1533,7,5,2006,70761,1975,1975,576,2,2
452,204000,1756,6,5,2007,9303,1996,1997,422,2,0
453,210000,1590,8,5,2009,9000,2008,2008,676,2,0
454,188000,1728,5,5,2006,9297,1976,1976,560,2,0
455,175500,1242,7,6,2007,9600,1973,1973,528,2,1
456,98000,1344,5,5,2008,4571,1916,1950,513,3,0
457,256000,1663,4,6,2008,53227,1954,1994,529,2,2
458,161000,1666,8,7,2008,5100,1925,1996,228,1,1
459,110000,1203,5,4,2009,7015,1950,1950,352,1,1
460,263435,1935,8,5,2009,8004,2009,2009,552,2,0
461,155000,1135,7,9,2009,7200,1936,2007,576,2,0
462,62383,864,5,5,2009,8281,1965,1965,360,1,1
463,188700,1660,6,7,2008,11988,1934,1995,240,1,1
